bm25_score,semantic_score,cross_encoder_score,rrf_score,phase_numeric,is_recruiting,is_active,enrollment_log,condition_exact_match,title_query_overlap,has_eligibility,query_id,nct_id,relevance
80.24323,0.0,0.6614502821812785,0.01639344262295082,1.0,1.0,0.0,3.6109179126442243,1.0,0.5714285714285714,1.0,0,NCT06745804,1
66.09558,0.0,0.6786956563061486,0.010638297872340425,0.0,0.0,0.0,7.3783837129967145,1.0,0.2857142857142857,1.0,0,NCT00638391,2
67.25022,0.0,0.6397919814153269,0.012048192771084338,0.0,1.0,0.0,2.833213344056216,1.0,0.5714285714285714,1.0,0,NCT05736367,2
69.28417,0.3780921697616577,0.643728539744952,0.01666195102015153,2.0,0.0,0.0,5.303304908059076,1.0,0.2857142857142857,1.0,0,NCT03906669,1
64.441696,0.41522181034088135,0.6967258207411985,0.013175675675675676,0.5,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0,NCT04088032,2
65.39902,0.0,0.6920763913016257,0.009900990099009901,2.0,0.0,0.0,4.61512051684126,1.0,0.2857142857142857,1.0,0,NCT01924078,2
67.88907,0.5100356340408325,0.596086872292062,0.02485334979932078,2.0,0.0,1.0,5.673323267171493,1.0,0.5714285714285714,1.0,0,NCT03917082,2
62.673927,0.0,0.6939401160179828,0.007518796992481203,2.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0,NCT02853071,1
62.019608,0.0,0.6531426592040663,0.006896551724137931,0.0,0.0,0.0,4.795790545596741,1.0,0.7142857142857143,1.0,0,NCT00643513,2
64.58927,0.4415097236633301,0.6560223559006876,0.01521164021164021,1.0,0.0,0.0,1.6094379124341003,1.0,0.7142857142857143,1.0,0,NCT04504331,1
0.0,0.0,0.6252995097570644,0.0,0.0,0.0,0.0,3.091042453358316,1.0,0.2857142857142857,1.0,0,NCT05447910,1
80.032166,0.5196093320846558,0.6724221523029376,0.02946236559139785,1.0,0.0,0.0,2.302585092994046,1.0,0.5714285714285714,1.0,0,NCT04483505,2
79.00947,0.0,0.6673463823782835,0.015873015873015872,1.0,0.0,0.0,3.713572066704308,1.0,0.42857142857142855,1.0,0,NCT01273168,1
0.0,0.44894081354141235,0.637509153787135,0.006622516556291391,0.0,1.0,0.0,3.2188758248682006,1.0,0.2857142857142857,1.0,0,NCT07218432,2
77.70724,0.0,0.6205558646618057,0.015625,1.0,0.0,1.0,2.6390573296152584,1.0,0.8571428571428571,1.0,0,NCT05064085,1
54.504837,0.0,0.6201978253539611,0.003067484662576687,0.0,0.0,0.0,4.859812404361672,1.0,0.5714285714285714,1.0,0,NCT06729099,1
77.61053,0.3711361885070801,0.6444409535184522,0.017278554778554778,2.0,0.0,0.0,3.4339872044851463,1.0,0.5714285714285714,1.0,0,NCT03939871,2
0.0,0.4724639058113098,0.6292310714565195,0.008064516129032258,0.0,0.0,0.0,8.006700845440367,1.0,0.2857142857142857,1.0,0,NCT05870813,2
59.12004,0.48462074995040894,0.6507083371949065,0.0142719027669076,1.0,1.0,0.0,3.367295829986474,1.0,0.8571428571428571,1.0,0,NCT06678269,1
72.09218,0.0,0.6560327393857764,0.015151515151515152,1.0,0.0,0.0,3.044522437723423,1.0,0.8571428571428571,1.0,0,NCT03088527,1
0.0,0.0,0.6336925046249573,0.0,2.0,0.0,0.0,4.74493212836325,1.0,0.5714285714285714,1.0,0,NCT03497702,2
71.55321,0.0,0.6545537766365608,0.014925373134328358,2.0,1.0,0.0,3.713572066704308,1.0,0.8571428571428571,1.0,0,NCT07112053,2
